id;cardType;alignment;name;rarity;text;flavourText;illustrator;edition
294;Program;Runner;Skivviss;uncommon;Whenever you make a successful run on R&D, give the Corp a Skivviss counter. Each Skivviss counter requires the Corp to draw one extra card at the start of each of its turns.nThe Corp may remove all Virus counters by forgoing its next three actions.;;Mike Kimble;Limited
295;Program;Runner;Smarteye;common;Once during each run, you may expose a piece of unrezzed ice as you approach it. You may then jack out before the Corp decides whether to rez the ice.;;Mark Poole;Limited
296;Program;Runner;Snowball;rare;Snowball has +1 strength for each subroutine it has broken during a run, until the end of that run.n➊: Break sentry subroutine.n➊: +1 strength;;Maria P. Cabardo;Limited
297;Program;Runner;Speed Trap;uncommon;[0]: Jack out before an upgrade or node takes effect. Use this ability only immediately after the Corp has rezzed that upgrade or node.;"This program is solely intended for emergency extrication from hazards presented during inadvertent trespass;it in no way is intended to encourage willful trespass or other illegal action. (Yeah, right.)";Mark Collen;Limited
298;Program;Runner;Startup Immolator;uncommon;[T]: Pay the rez cost of a piece of ice to trash that piece of ice. Use this ability only if you have just broken all the subroutines of that piece of ice.;;Mark Collen;Limited
299;Program;Runner;Succubus;rare;Succubus can have up to 3 MU of programs installed in it. If Succubus leaves play, trash all programs installed in it.;Hey, server...;Anson Maddocks;Limited
300;Program;Runner;Tinweasel;vital;[0]: Break code gate subroutine.;Why, yes, I do speak fluent Navajo.;Mark Collen;Limited
301;Program;Runner;Vewy Vewy Quiet;common;Put ➋ from the bank on Vewy Vewy Quiet when it is installed. Use these bits only to pay for using icebreakers during runs, but not for using noisy icebreakers. If you use any of these bits, replace them at the start of your next turn.;You know what I like? Sneaking all the way in, and then barking all the way out! - Dog;Kevin Taylor;Limited
302;Program;Runner;Wild Card;vital;[0]: Break sentry subroutine.n➌: +1 strength;The survival of Al Capone's cronies into cyberspace has almost spiritual significance to many runners.;Tony Luke;Limited
303;Program;Runner;Wizard's Book;vital;[0]: Break code gate subroutine.n➋: +1 strength;Voluntas vincit omnia;Maria P. Cabardo;Limited
304;Program;Runner;Worm;vital;[0]: Break wall subroutine.n➌: +1 strength;It's hard to describe - but don't eat anything just before you watch it go into action.;Anson Maddocks;Limited
305;Program;Runner;Zetatech Software Installer;uncommon;Put ➋ on Software Installer when it is installed. Use these bits only to pay for installing programs. You may use these bits to install a program overwriting Software Installer itself. If you use any of these bits, replace them at the start of your next turn.;;Doug Shuler;Limited
306;Hardware;Runner;Arasaka Portable Prototype;rare;Provides +3 MU. Installing Arasaka Portable Prototype costs 1 agenda point, in addition to the normal cost. Put ➌ from the bank on Arasaka Portable Prototype when it is installed. Use these bits only to pay for using icebreakers during runs. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;James Allen Higgins;Limited
307;Hardware;Runner;Armadillo Armored Road Home;uncommon;Put ➋ from the bank on Armored Road Home when it is installed. Use these bits only to pay for removing tags. If you use any of these bits, replace them at the start of your next turn.n[T]: Prevent up to 3 meat damage.;;Norm Dwyer;Limited
308;Hardware;Runner;Armored Fridge;uncommon;Put seven Ablative counters on Armored Fridge when it is installed. When the last Ablative counter has been removed, trash Armored Fridge.nAblative counter: Prevent 1 meat damage.;I also once shut off the hot water line to my dishwasher and hid in there while it was running, but I'll never do that again - Rache Bartmoss;Kim Francisco;Limited
309;Hardware;Runner;Artemis 2020;uncommon;Provides +2 MU. Put ➋ from the bank on Artemis 2020 when it is installed. Use these bits only to pay for using icebreakers during runs. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Doug Chaffee;Limited
310;Hardware;Runner;Bodyweightu2122 Data Creche;rare;Provides +1 MU. Once per turn, right after making a successful run, you can choose to make another run without taking an action to do so.nOnly one deck can be in play at a time. Trash any older decks.;I better hijack another order for a five-gallon saline feed ... I might be in here a while.;Anthony Judge;Limited
311;Hardware;Runner;Corolla Speed Chip;common;Put ➊ from the bank on Corolla Speed Chip when it is installed. Use this bit only to pay for using killers during runs. If you use the bit, replace it at the start of your next turn.;;Lawrence Brown;Limited
312;Hardware;Runner;Dermatech Bodyplating;uncommon;Prevents 1 meat damage each turn.;Is that the best you can do, corp boy?;L.A. Williams;Limited
313;Hardware;Runner;Drifter Mobile Environment;uncommon;Put ➋ from the bank on Mobile Environment when it is installed. Use these bits only to pay for removing tags. If you use any of these bits, replace them at the start of your next turn.;;Randy Gallegos;Limited
314;Hardware;Runner;Full Body Conversion;rare;Prevents all meat damage. For each ➊ the Corp pays when meat damage is done, 1 point of meat damage is not prevented by this card.;Don't use any big words when you talk to him: he's more hardware than wetware.;L.A. Williams;Limited
315;Hardware;Runner;Green Knight Surge Buffers;common;Prevents 1 Net damage each turn.;;Lawrence Brown;Limited
316;Hardware;Runner;HQ Interface;common;Whenever you access cards from HQ, access an additional card from HQ.;... from Arasaka to Cuernavaca to Oaxaca - to me the gear does come.;Lawrence Brown;Limited
317;Hardware;Runner;Lifesaveru2122 Nanosurgeons;rare;A: Draw two cards. Use this ability only if you were damaged during any of your last three actions.n[T]: Prevent 1 brain damage.;;Doug Shuler;Limited
318;Hardware;Runner;Microtech 'Trode Set;rare;Pay ➊, in addition to the normal cost, to break each ice subroutine. Ignore all AP subroutines except those that trace, or that do Net damage. Prevents all but 1 Net damage from each AP subroutine you do not break.;;Randy Gallegos;Limited
319;Hardware;Runner;Microtech Backup Drive;common;Whenever one or more installed programs are being sent to the trash at the same time, you may instead choose to put any or all of the programs on top of Microtech Backup Drive in any order you choose. If Backup Drive is removed from play, trash any cards on it.nA: Bring the top card on Backup Drive into your hand.;;James Allen Higgins;Limited
320;Hardware;Runner;Militech MRAM Chip;uncommon;Hand size +3;I have a hard time remembering, when the chips are down.;James Allen Higgins;Limited
321;Hardware;Runner;MRAM Chip;uncommon;Hand size +2;Your brain's just like any other appliance, chummer. Works better if you plug it in. - Joey Two-Tails;Doug Chaffee;Limited
322;Hardware;Runner;Nasuko Cycle;vital;➌: Avoid receiving a tag.;Puts the world into fast forward so you can skip scenes that ain't so pretty.;L.A. Williams;Limited
323;Hardware;Runner;Pandora's Deck;uncommon;Provides +2 MU. Put ➌ from the bank on Pandora's Deck when it is installed. Use these bits only to pay for increasing your link. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Jonnie Wilder;Limited
324;Hardware;Runner;Parraline 5750;common;Provides +1 MU. Put ➊ from the bank on Parraline 5750 when it is installed. Use this bit only to pay for using icebreakers during runs. If you use the bit, replace it at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Mark Collen;Limited
325;Hardware;Runner;PK-6089a;common;Provides +1 MU. Put ➌ from the bank on PK-6089a when it is installed. Use these bits only to pay for increasing your link. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;Hey, this sucker can keep your deadline from becoming a flatline. - Dog;Chris Vande Voort;Limited
326;Hardware;Runner;R&D Interface;common;Whenever you access cards from R&D, access an additional card from R&D.;I have a friend in Oaxaca who sells to Ops in Cuernavaca who supply a tech at Arasaka . . .;John Park;Limited
327;Hardware;Runner;Raven Microcyb Eagle;common;Provides +1 MU. Prevents 1 Net damage each turn. Put ➊ from the bank on Microcyb Eagle when it is installed. Use this bit only to pay for using icebreakers during runs. If you use the bit, replace it at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Mike Raabe;Limited
328;Hardware;Runner;Raven Microcyb Owl;uncommon;Provides +1 MU. Put ➌ from the bank on Microcyb Owl when it is installed. Use these bits only to pay for using icebreakers during runs, but not for using noisy icebreakers. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Doug Shuler;Limited
329;Hardware;Runner;Record Reconstructor;rare;A: Make a run on the Archives. If run is successful, do not access cards from the Archives; instead, shuffle the face-up pile of the Archives and then put the top two cards from that pile on R&D.;James Allen Higgins;Limited
330;Hardware;Runner;Techtronicau2122 Utility Suit;uncommon;Provides +1 MU. Prevents 1 meat damage each turn. Put ➎ on Techtronicau2122 Utility Suit when it is installed. Use these bits only to pay for increasing your link. If you use any of these bits, replace them at the start of your next turn.nOnly one deck can be in play at a time. Trash any older decks.;;Doug Shuler;Limited
331;Hardware;Runner;Tycho Mem Chip;common;Provides +3 MU.;You know there was actually a time when three megabytes was considered a score to the black market.nWhat's a megabyte?;Lawrence Brown;Limited
332;Hardware;Runner;WuTech Mem Chip;common;Provides +1 MU.;Here at WuTech, we take pride in our quest to make memory cheaper than water. - Erin Devlin, WuTech COO;Jonnie Wilder;Limited
333;Hardware;Runner;Zetatech Mem Chip;common;Provides +2 MU.;In 2019, sales dipped because of a rumor that the odd chip contained a miniature transmitter that sent the chip's data, encrypted, to the nearest Zetatech facility.;Lawrence Brown;Limited
334;Hardware;Runner;ZZ22 Speed Chip;common;Put ➋ from the bank on ZZ22 Speed Chip when it is installed. Use these bits only to pay for using killers during runs. If you use any of these bits, replace them at the start of your next turn.;;Jonnie Wilder;Limited
335;Resource;Runner;Access through Alpha;rare;➊: Base link 9nUse only one base link card for each trace attempt made against you.;Wilderspace is made up of those areas of the Net that have not already been catalogued into one region or another. - Spider Murphy;Mark Collen;Limited
336;Resource;Runner;Access to Arasaka;vital;➋: Base link 4n➋: +1 linknUse only one base link card for each trace attempt made against you.;;Mark Collen;Limited
337;Resource;Runner;Access to Kiribati;vital;➊: Base link 1n➊: +1 linknUse only one base link card for each trace attempt made against you.;Third-World security and First-World bureaucracy - together at last.;Sue Ann Harkey;Limited
338;Resource;Runner;Aujourd'Oui;rare;A: Look at the top five cards of your stack. You may bring any program cards among them into your hand. Pay ➊ for each card taken in this way, and show those cards to the Corp. Shuffle your stack.;;Margaret Organ-Kean;Limited
339;Resource;Runner;Back Door to Hilliard;common;[0]: Base link 2n➌: +1 linknUse only one base link card for each trace attempt made against you.;Hilliard Registrar query confirmed for Ice UNIT CERBERUS BD62663-R. Sorry, Mr. Cerberus, that class is full, though if you obtain authorization from your proctor, you may petition for entrance.;Robert McLees;Limited
340;Resource;Runner;Back Door to Orbital Air;vital;➊: Base link 2n➋: +1 linknUse only one base link card for each trace attempt made against you.;If you think the airlines are good at losing luggage, you should see what they can do with a trace attempt.;Mark Collen;Limited
341;Resource;Runner;Broker;common;Each of your turns, you may take only one action to use Broker.nA: Put ➌ from the bank on Broker.nA: Take all the bits from Broker.;;Armand Cabera;Limited
342;Resource;Runner;Code Viral Cache;rare;Play only if you made a successful run on HQ this turn. If the Corp forgoes actions to lose Virus counters, two counters of your choice are not removed. The Corp may trash Viral Cache by taking an action to pay ➎.;;Robert McLees;Limited
343;Resource;Runner;Corporate Ally;rare;Installing Corporate Ally costs 1 agenda point, in addition to the normal cost. The difficulty of all agendas is +1.nOnly one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;;Glenn Kim;Limited
344;Resource;Runner;Crash Everett,Inventive Fixer;common;Whenever you draw one or more cards from your stack, draw an extra card; then choose one of the cards drawn and either trash it or return it to the top of your stack.nOnly one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;Mike Kimble;Limited
345;Resource;Runner;Danshi's Second ID;uncommon;A, [T]: Remove up to three tags, at no cost.;I'll take the complete package: apartment, ID number, passports, credit account, fake diplomas, fingerprints, retinas ...;Mark Collen;Limited
346;Resource;Runner;Databroker;uncommon;A, [T], 1 agenda point: Gain ➓.;"Information does not want to be free;it wants to be liberated and expensive.";Craig Gilmore;Limited
347;Resource;Runner;Diplomatic Immunity;rare;Prevents all meat damage. The Corp may pay 1 agenda point to cancel this effect until end of turn. Only one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;;Higgins & King;Limited
348;Resource;Runner;Fall Guy;vital;[T]: Avoid receiving a tag.;What I like best about you, Neal, is that you trust me.;Mike Kimble;Limited
349;Resource;Runner;Field Reporter of Ice and Data;rare;At the end of each of your turns, gain ➊ for each piece of ice the Corp rezzed during that turn.;;Dan Frazier;Limited
350;Resource;Runner;Floating Runner BBS;uncommon;Gain ➊ at the start of each of your turns.;;James Allen Higgins;Limited
351;Resource;Runner;Hell's Run;uncommon;Put ➊ from the bank on Hell's Run when it is installed. Use this bit only to pay for increasing your link. If you use the bit, replace it at the start of your next turn.;;Pete Venters;Limited
352;Resource;Runner;Junkyard BBS;uncommon;A, ➊: Bring the top card from your trash into your hand.;You wouldn't believe the stuff some people throw away!;Sue Ann Harkey;Limited
353;Resource;Runner;Karl de Veres,Corporate Stooge;uncommon;Gain ➊ each time you make a successful run.nOnly one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;;Randy Gallegos;Limited
354;Resource;Runner;Leland,Corporate Bodyguard;common;➊: Prevent 1 meat damage.n[T]: Avoid receiving a tag.;Friends help you move. Real friends help you move bodies.;Heather Hudson;Limited
355;Resource;Runner;Loan from Chiba;uncommon;Gain [12] when Loan from Chiba is installed. At the start of each of your turns, lose ➊. If Loan from Chiba leaves play, pay ➓ or lose the game. You may trash Loan from Chiba at the end of any of your turns.;I hear their collection agents have organ preserva-paks. And dull scalpels.;James Allen Higgins;Limited
356;Resource;Runner;N.E.T.O.;rare;A: Look at the top four cards of your stack. You may bring any prep or resource cards among them into your hand. Pay ➊ for each card taken in this way, and show those cards to the Corp. Shuffle the rest back into your stack.;;Robert McLees;Limited
357;Resource;Runner;Nomad Allies;vital;A, ➊: Remove a tag, at no cost.n[T]: Avoid receiving a tag.;So, what are we calling you this month?;Dan Frazier;Limited
358;Resource;Runner;Preying Mantis;rare;Each of your turns, you may choose to gain an action. If you do, suffer 1 brain damage at the end of the turn. This damage cannot be prevented.;First hit's free!;Dan Frazier;Limited
359;Resource;Runner;Quest for Cattekin;rare;At the start of each of your turns, roll a die. On a 6, trash Quest for Cattekin, and you gain an action on each of your turns for the remainder of the game. On a 1, suffer 1 brain damage. On a 2, suffer 1 Net damage. Damage from Quest for Cattekin cannot be prevented.;;Kevin Stein;Limited
360;Resource;Runner;Restrictive Net Zoning;uncommon;Choose a data fort when Restrictive Net Zoning is installed. The Corp must pay ➋, in addition to the normal cost, to install ice on that fort.;Corporation wishing to conduct business here should consider the cost of getting intrusion countermeasures to blend with the high-rez scenery of an AW-1 (Alice in Wonderland) Zone.;Jonnie Wilder;Limited
361;Resource;Runner;Rigged Investments;common;Put [12] from the bank on Rigged Investments when it is installed. At the start of each of your turns, take ➊ from Rigged Investments. When all the bits have been removed, trash Rigged Investments.;;Armand Cabrera;Limited
362;Resource;Runner;Ronin Around;rare;A: Look at the top five cards of your stack. You may bring any hardware cards among them into your hand. Pay ➊ for each card taken in this way, and show those cards to the Corp. Shuffle the rest back into your stack.nA, ➋: Expose any card.;;Sue Ann Harkey;Limited
363;Resource;Runner;Short-Term Contract;common;Put [12] from the bank on Short-Term Contract when it is installed. When all the bits have been removed, trash Short-Term Contract.nA: Take ➋ from Short-Term Contract.;Contrary to popular opinion, we are productive members of society. We just moonlight as data raiders. - Spider Murphy;James Allen Higgins;Limited
364;Resource;Runner;Silicon Saloon Franchise;rare;A: Gain ➊ and draw one card.;WANTED: Enterprising civilian with capital to invest in entertainment franchise. Management experience not required. Corporations, nomads, and AIs need not apply.;James Allen Higgins;Limited
365;Resource;Runner;Smith's Pawnshop;uncommon;At the start of each of your turns, you may trash one of your other installed cards to gain ➋.nOnly one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;;Glenn Kim;Limited
366;Resource;Runner;Submarine Uplink;uncommon;[0]: Base link 4n➊: +1 link.nYou may use Submarine Uplink only during a run. Using Submarine Uplink forces you to jack out after the current encounter ends.nUse only one base link card for each trace attempt made against you.;;John Ramirez;Limited
367;Resource;Runner;Technician Lover;uncommon;A: Look at the top card of R&D.;Enough about me. How's work?;Randy Gallegos;Limited
368;Resource;Runner;The Shell Traders;rare;A: Choose a program or hardware card from your hand. Set that card aside, and put a number of Shell counters on it equal to its installation cost. When the last Shell counter on that card has been removed, install that card, at no cost. Remove one Shell counter from one card at the start of each of your turns.n➊: Remove one Shell counter from a card.;;Mike Kimble;Limited
369;Resource;Runner;The Short Circuit;common;A, ➊: Search your stack for a program. Show that program to the Corp, and then bring it into your hand. Reshuffle your stack afterwards.;;Ray Winninger;Limited
370;Resource;Runner;The Springboard;common;➊: +1 link. Use this ability only once during each trace attempt, and only after you and the Corp have revealed how much each of you spent.;Blow 600 eb or risk blowing your cortex - it's your choice. - Springboard advertisement;Sue Ann Harkey;Limited
371;Resource;Runner;Top Runner's Conference;rare;Gain ➋ at the start of each of your turns. Trash Top Runners' Conference when you make a run.;I have discovered a truly elegant codebreaking routine. Unfortunately, this chip is not large enough to contain it.;James Allen Higgins;Limited
372;Resource;Runner;Trauma Teamu2122;uncommon;Put two Trauma counters on Trauma Teamu2122 when it is installed. Trauma counter: Prevent 1 meat damage.nA: Put one Trauma counter on Trauma Teamu2122.;;Robert McLees;Limited
373;Resource;Runner;Umbrella Policy;uncommon;[T]: Prevent an installed program or hardware card from being trashed.;I cashed in their warranty when my utility was trashed by their own ice! - Spider Murphy;Zak Plucinski;Limited
374;Resource;Runner;Wilson,Weeflerunner Apprentice;uncommon;Each of your turns, you may choose to gain an action, which you may use only to make a run. You cannot spend more than ➌ during that run to pay for using icebreakers or increasing your link. Use this ability only once per turn and only during your turn.n[T]: Avoid receiving a tag.n[T]: Prevent any amount of meat damage.;;Dan Frazier;Limited
375;Upgrade;Corporation;Corporate Guard Temps;uncommon;Pay two times [X] when you play Corporate Guard® Temps, to gain an action during each of your next X turns. Forfeit the next [X] you gain.;;Craig Hooper;Proteus
376;Upgrade;Corporation;Credit Consolidation;common;Gain [15].;Here's the balance shett on our hidden accounts. I suggest we have Finance sonsolidate the newly decriminalized activities with ligitimate loan;Doug Alexander;Proteus
377;Upgrade;Corporation;Data Sifters;common;Play only if Runner trashed any nodes during his or her last turn.nGive Runner a tag.;The runner tried to crash the entire file structure, but the black-box routines on the login records held.;James Allen Higgins;Proteus
378;Upgrade;Corporation;Emergency Rig;uncommon;Rez a piece of ice, at no cost. Put X Kludge counters on that piece of ice; X cannot be 0. At the start of each of your turns, remove a Kludge counter. Trash that piece of ice when the last Kludge counter is removed from it.;Romas Kukalis;Proteus
379;Upgrade;Corporation;Manhunt;common;Play only if Runner attempted a run during his or her last turn.nTrace6 - If trace is successful, give Runner one tag for each point by which your trace exceeded his or her link.;I want his friends dead! I want his family dead! I want his deck dead!;Thomas Gianni;Proteus
380;Upgrade;Corporation;Rent-to-Own Contract;uncommon;Rez a piece of ice, at no cost. Put on that ice a number of Term counters equal to its rez cost. At the start of each of your turns, if you have at least ➋, lose ➋ and remove one of these Term counters; otherwise, put a Term counter on that piece of ice.;Doug Shuler;Proteus
381;Upgrade;Corporation;Schlaghund Pointers;uncommon;Play only if Runner has attempted a run this game.nTrace3 - If trace is successful, give Runner a tag. Pay ➊, in addition to the normal cost, for each point of trace above 0.;The mark lives in a city that lets wild dogs run around as a way of curbing the homeless presence, and these puppies will blend right in.;Ciro Tota;Proteus
382;Upgrade;Corporation;Underworld Mole;common;Play only if Runner installed any resources during his or her last turn.nTrace4 - If trace is successful, trash a resource Runner installed during his or her last turn and give Runner a tag.;Everybody knows somebody who knows a little too much about anybody;David Seeley;Proteus
383;Upgrade;Corporation;Herman Revista;uncommon;[0]: Rearrange the ice installed on this fort. Use this ability only at the start of a run on this data fort.;So you say that only a fool would install the Watchdog and the Jack Attack inside the black ice? Why don't you rin it anyway, just for kics.;Zak Plucinski;Proteus
384;Upgrade;Corporation;Lesley Major;rare;Install Lesley Major only in a subsidiary data fort.n➎: Add two advancement counters, at no cost, to a card installed in this data fort. Use this ability only when Runner passes the last piece of ice on this fort, and only once per run.;;Randy Gallegos;Proteus
385;Upgrade;Corporation;Lisa Blight;rare;➊, Discard a card at random: Repeat one subroutine on a piece of ice on this fort, until the end of the run. Treat the copy of the subroutine as if it appeared immediately after the original subroutine. Use this ability only during a run.;;Phil Hale;Proteus
386;Upgrade;Corporation;Marcel DeSoleil;rare;➋, Trash the top two cards stored in R&D: Repeat one subroutine on a piece of ice on this fort, until the end of the run. Treat the copy of the subroutine as if it appeared immediately after the original subroutine. Use this ability only during a run.;;Phil Hale;Proteus
387;Upgrade;Corporation;Networked Center;rare;The difficulty of Gray Ops agendas installed in this fort is reduced by 1.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Romas Kukalis;Proteus
388;Upgrade;Corporation;Obfuscated Fortress;rare;At the start of a run on this fort, Runner must announce the number of bits he or she will spend during the run. Runner cannot spend more than this during that run. If Runner does not spend that many bits during that run, the Runner loses the remainder once the run is complete. You may rez Obfuscated Fortress at the start of a run on this fort.;;Mark Rattin;Proteus
389;Upgrade;Corporation;Panic Button;uncommon;Install Panic Button only in HQ.n➊: Draw a card. Use this ability only during a run on HQ.;As a last resort, I'm trying something I learned from Marketing: bombard him with sexy options and chances are he'll choose something he doesn't need.;Doug Shuler;Proteus
390;Upgrade;Corporation;Pavit Bharat;rare;Install Pavit only in a subsidiary data fort. When you rez Pavit Bharat, uninstall all cards installed in this fort and store them in HQ. Install an equal number of cards from HQ in this fort. Rez Pavit Bharat only when Runner has passed the last piece of ice on this fort.;Pavit means pious-but hey, it's not like any parents predict their kid will grow up to be a ruthless security agent.;Zak Plucinski;Proteus
391;Upgrade;Corporation;Rasmin Bridger;uncommon;After Runner passes each piece of ice on this fort, Runner must pay ➊ or end the run.;Fifty for the Shotgun Wire, twenty to get past the Filter-even the Hellhound wanted a cool three hundred! That place is worse than a third-world bureaucracy! We should seriously rethink their merger proposal.-Erin Devlin, WuTech COO;Brice Parker;Proteus
392;Upgrade;Corporation;Raymond Ellison;uncommon;Install Raymond Ellison only in a subsidiary data fort.n[T]: Remove any number of advancement counters from cards installed in this data fort. Gain ➌ for each advancement counter removed. Use this ability only during a run. At the end of the run, return to the bank any of the bits gained that you did not spend.;;Phil Hale;Proteus
393;Upgrade;Corporation;Research Bunker;rare;The difficulty of research agendas installed in this fort is reduced by 1.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Brice Parker;Proteus
394;Upgrade;Corporation;Simon Francisco;uncommon;Install Simon Francisco only in R&D or HQ.nDuring a run in which Simon Francisco is accessed, Runner accesses one less card stored in this fort.;No, no, we don't have enforcers here at Futokora. You must've met one of our customer service reps.;Randy Gallegos;Proteus
395;Upgrade;Corporation;Weapons Depot;rare;The difficulty of Black Ops agendas installed in this fort is reduced by 1.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;David Seeley;Proteus
396;Upgrade;Corporation;Bel-Digmo Antibody;uncommon;Shuffle Bel-Digmo Antibody into R&D when it is rezzed. When Runner accesses Bel-Digmo Antibody from R&D, do 1 Net damage, and Runner must show it to you.;;Corey Macourek;Proteus
397;Upgrade;Corporation;Cybertech Think Tank;rare;You may advance Cybertech Think Tank before and after you rez it.nCybertech Think Tank advancement counter: Increase by 1 the meat damage dealt by another source.;;Rick Berry;Proteus
398;Upgrade;Corporation;Department of Misinformation;rare;You may rez Department of Misinformation when Runner attempts to expose a card.n➊: Prevent a card from being exposed.;I'm sorry, sir, the department you requested does not exist. Could I get your name and number and have them call you back?;Doug Chaffee;Proteus
399;Upgrade;Corporation;Doppelganger Antibody;common;When Runner accesses Doppelganger Antibody, you may pay ➋ to give Runner a Doppelganger counter, even if Doppelganger is not installed. Ignore this effect if Runner accesses Doppelganger from the Archives. Each Doppelganger counter causes Runner to lose ➊ at the start of each of his or her turns. Runner may take an action to pay ➍ to remove a Doppelganger counter. If Doppelganger is accessed from R&D, Runner must show it to you.;;David Ho;Proteus
400;Upgrade;Corporation;Executive Boot Camp;rare;Discard a card at random: Gain ➋. Use this ability only during a run. At the end of the run, return to the bank any of the ➋ you did not spend.;;Zak Plucinski;Proteus
401;Upgrade;Corporation;Government Contract;common;You may advance Government Contract before and after you rez it.nGovernment Contract advancement counter: Gain ➌. Use these bits only to pay for installing or rezzing cards. When the turn ends, return to the bank any of the ➌ you did not spend.;;Doug Chaffee;Proteus
402;Upgrade;Corporation;LDL Traffic Analyzers;rare;You may advance LDL Traffic Analyzers before and after you rez it.nYou may rez LDL Traffic Analyzers during a trace attempt.nLDL Traffic Analyzers advancement counter: Gain ➎. Use this ability only during a trace attempt. When the trace attempt ends, return to the bank any of the ➎ you did not spend.;;Mark Maxwell;Proteus
403;Upgrade;Corporation;Pattel Antibody;uncommon;When Runner accesses Pattel Antibody, you may pay ➌ to put a Pattel counter on all installed icebreakers, even if Pattel Antibody is not installed. Ignore this effect if Runner accesses Pattel Antibody from the Archives. Each Pattel counter on an icebreaker reduces its strength by 1. If Pattel Antibody is accessed from R&D, Runner must show it to you.;;Norm Dwyer;Proteus
404;Upgrade;Corporation;Siren;uncommon;Rez Siren when you install it. Install Siren only if you can pay to rez it.n➊: If possible, Runner must make a run on the fort Siren is installed in, instead of on the fort he or she was originally going to make a run on. Use this ability only at the start of a run.;They'll come. Just leak one word:'oops®-Magnificent Curtis;David Logan;Proteus
405;Upgrade;Corporation;Stereogramm Antibody;rare;When Runner accesses Stereogram Antibody from the Archives, do 1 Net damage and shuffle Stereogram Antibody into R&D;Don't focus on it! Just let your deck's interface routines save you the headache...and the nosebleed from the feedback.;John Sledd;Proteus
406;Upgrade;Corporation;Syd Meyer Superstores;common;A: Trash a rezzed piece of ice. Gain ➍.;Let me get this straight: you ran the databanks of Syd Meyer Superstores with a 'breaker you bought at Syd's? Congrats, you just participated in their standard product-test program.;Mike Kimble;Proteus
407;Agenda;Corporation;AI Board Member;rare;"You may gain an action during each of your turns. At the start of each of your turns, roll a die to see what the action will be for that turn, and then decide whether to take it. On a 1, you may use the action only to install a card;on a 2 or 3, only to gain ➊;on a 4, 5, or 6, only to draw a card.";;Moebius;Proteus
408;Agenda;Corporation;Charity Takeover;common;Gain 9 and 1 Bad Publicity point.nIf the Corp has 7 or more Bad Publicity points, it loses the game, even if it fulfills victory conditions at the same time.;"We don't call them 'Black Ops' because they're immoral;we call them that because they put us in the black.";Matt Wilson;Proteus
409;Agenda;Corporation;Corporate Headhunters;common;Whenever Corporate Headhunters successfully does damage, Runner's hand size is reduced by 1.nA: Do 1 meat damage. Use this ability only if Runner is tagged.;He wasn't much of a security risk, but we flatlined him anyway.;Rick Berry;Proteus
410;Agenda;Corporation;Fetal AI;rare;When Runner accesses Fetal AI, do 2 Net damage, even if it is not installed. Ignore this effect if Runner accesses Fetal AI from the Archives. If Fetal AI is accessed from R&D, Runner must show it to you. Runner must pay 2 to steal Fetal AI, in addition to any other costs.;;Rick Berry;Proteus
411;Agenda;Corporation;Marked Accounts;common;When Runner accesses Marked Accounts, give Runner a tag, even if it is not installed. If Marked Accounts is accessed from R&D, Runner must show it to you.;First Eurobank called, reporting a failed credit transfer from one of our marked funds. They're giving us the perp's address.nGood. So which fund was broken into?nHeh. Get this: 'Counterintrusion Disbursements.';Doug Shuler;Proteus
412;Agenda;Corporation;Please Don't Choke Anyone;rare;For each 1 damage you successfully do, you may choose instead to prevent that damage and put a PDCAcounter on Please Don 't Choke Anyone.nPDCA counter: Gain an action. Use this ability only once per turn and only during your turn.;First let's consider the problem not as a series of independent actions, Bob, but as a series of...Oh lord, just kill him.;Pete Venters;Proteus
413;Agenda;Corporation;Project Venice;common;For every three advancement counters over Project Venice 's difficulty that are on Project Venice when you score it, gain an action during each of your turns.;Attention all substations: Project Venice has crashed again due to server difficulties. Please observe safety precautions while unplugging any programmers or corprunners.;Mark Tedin;Proteus
414;Agenda;Corporation;Project Zurich;common;For every two advancement counters over Project Zurich 's difficulty that are on Project Zurich when you score it, gain 1 at the start of each of your turns.;Woth only minor deviation from standard accounting practices, we can improve our bottom line significantly.;Moebius;Proteus
